no,kode_rs,propinsi,pemilik,nama_rs,ranap,rajal,total,kelas
1,3173014,DKI JAKARTA,Pemerintah,RSUPN DR CIPTO MANGUNKUSUMO,"178,643","2,350,300","2,533,579",A
2,3374010,JAWA TENGAH,Pemerintah,RSU DR. KARIADI,"200,997","1,732,867","1,933,864",A
3,3578016,JAWA TIMUR,Pemerintah,RSUD DR. SOETOMO,"192,751","1,625,193","1,817,973",A
4,3173025,DKI JAKARTA,Pemerintah,RS PAD GATOT SOEBROTO,"118,689","1,581,977","1,700,668",A
5,3404015,DIY,Pemerintah,RSUP DR. SARDJITO,"131,509","1,470,201","1,601,742",A
6,3273015,JAWA BARAT,Pemerintah,RSU DR. HASAN SADIKIN,"146,181","1,390,515","1,536,738",A
7,3171012,DKI JAKARTA,Pemerintah,RSUP FATMAWATI,"107,476","1,310,213","1,418,048",A
8,5171016,BALI,Pemerintah,RSUP SANGLAH DENPASAR,"123,490","1,042,787","1,166,290",A
9,3573011,JAWA TIMUR,Pemerintah,RS DR. SAIFUL ANWAR,"152,201","969,242","1,121,553",A
10,3372015,JAWA TENGAH,Pemerintah,RSU DR. MOEWARDI SURAKARTA,"159,735","959,232","1,118,967",A
11,1171015,NAD,Pemerintah,RSU DR. ZAINOEL ABIDIN,"145,842","956,709","1,102,563",A
12,3172072,DKI JAKARTA,Pemerintah,RS BHAYANGKARA TK I R. SAID SUKANTO,"218,483","799,971","1,018,455",A
13,3174063,DKI JAKARTA,Pemerintah,RS KANKER DHARMAIS,"70,806","919,321","990,146",A
14,7171013,SULAWESI UTARA,Pemerintah,RSU PROF.DR. R.D KANDOU MANADO,"120,317","820,784","941,102",A
15,1671013,SUMATERA SELATAN,Pemerintah,RSU DR. MOHAMMAD HOESIN,"144,852","763,778","908,633",A
16,3172013,DKI JAKARTA,Pemerintah,RSUP PERSAHABATAN,"92,030","753,026","845,058",A
17,7371325,SULAWESI SELATAN,Pemerintah,RSU DR. W. SUDIROHUSODO,"118,189","708,935","827,129",A
18,1371010,SUMATERA BARAT,Pemerintah,RSU DR. M.DJAMIL PADANG,"110,401","712,868","823,269",A
19,3310015,JAWA TENGAH,Pemerintah,RSUP DR. SOERADJI TIRTONEGORO KLATEN,"79,872","679,335","759,238",A
20,6472015,KALIMANTAN TIMUR,Pemerintah,RSUD H A WAHAB SJAHRANIE,"110,519","640,096","750,684",A
21,3578020,JAWA TIMUR,Pemerintah,RS AL DR RAMELAN,"84,729","645,050","729,790",A
22,1275655,SUMATERA UTARA,Pemerintah,RSU H. ADAM MALIK,"87,860","614,285","702,146",A
23,6471014,KALIMANTAN TIMUR,Pemerintah,RSUD DR. KANUJOSO DJATIWIBOWO,"96,570","555,144","651,714",A
24,5271010,NTB,Pemerintah,RSU PROV. NTB,"83,291","564,501","647,837",A
25,6371013,KALIMANTAN SELATAN,Pemerintah,RSUD ULIN BANJARMASIN,"96,049","480,835","576,909",A
26,3273486,JAWA BARAT,Swasta,RSU SANTOSA HOSPITAL BANDUNG CENTRAL,"84,839","436,610","521,450",A
27,1801017,LAMPUNG,Pemerintah,RSU DR. H. ABDUL MOELOEK,"138,792","379,155","517,947",A
28,3173521,DKI JAKARTA,Pemerintah,RSU TARAKAN,"70,989","410,301","481,292",A
29,3273542,JAWA BARAT,Swasta,RS SANTOSA KOPO,"57,820","408,468","466,289",A
30,3271046,JAWA BARAT,Pemerintah,RSJ DR. H. MARZOEKI MAHDI,"33,284","398,543","431,828",A
31,3174282,DKI JAKARTA,Pemerintah,RSJPD HARAPAN KITA,"56,479","371,369","427,849",A
32,3172746,DKI JAKARTA,Pemerintah,RS JIWA DUREN SAWIT,"30,164","378,208","408,372",A
33,6171011,KALIMANTAN BARAT,Pemerintah,RSUD DR SUDARSO,"46,504","313,019","359,523",A
34,3273191,JAWA BARAT,Pemerintah,RS MATA CICENDO,"27,558","325,345","352,908",A
35,3372063,JAWA TENGAH,Pemerintah,RSO PROF. DR. R. SOEHARSO,"20,714","272,731","293,450",A
36,3172749,DKI JAKARTA,Pemerintah,RS PUSAT OTAK NASIONAL,"32,901","257,922","290,823",A
37,3371040,JAWA TENGAH,Pemerintah,RSJ DR. SOEROJO MAGELANG,"34,471","255,695","290,166",A
38,3310026,JAWA TENGAH,Pemerintah,RS JIWA DR.R.M.SOEDJARWADI KLATEN,"13,008","238,199","251,207",A
39,3174260,DKI JAKARTA,Pemerintah,RSAB HARAPAN KITA,"34,713","200,425","235,138",A
40,3507026,JAWA TIMUR,Pemerintah,RSJ DR. RADJIMAN WEDIODININGRAT,"18,312","171,714","190,139",A
41,1375036,SUMATERA BARAT,Pemerintah,RS OTAK DR. DRS. M. HATTA BUKITTINGGI,"19,331","163,413","182,747",A
