PROVINSI,PESERTA
ACEH,63033
SUMATERA UTARA,158128
SUMATERA BARAT,57845
RIAU,68064
JAMBI,42955
SUMATERA SELATAN,90872
BENGKULU,36511
LAMPUNG,75317
KEPULAUAN BANGKA BELITUNG,16949
KEPULAUAN RIAU,24396
DKI JAKARTA,77551
JAWA BARAT,321733
JAWA TENGAH,315576
DAERAH ISTIMEWA YOGYAKARTA,37748
JAWA TIMUR,284445
BANTEN,72087
BALI,54591
NUSA TENGGARA BARAT,37489
NUSA TENGGARA TIMUR,75102
KALIMANTAN BARAT,48708
KALIMANTAN TENGAH,37625
KALIMANTAN SELATAN,53226
KALIMANTAN TIMUR,47190
KALIMANTAN UTARA,11154
SULAWESI UTARA,43144
SULAWESI TENGAH,39019
SULAWESI SELATAN,104314
SULAWESI TENGGARA,51847
GORONTALO,15204
SULAWESI BARAT,19067
MALUKU,34171
MALUKU UTARA,27291
PAPUA BARAT,28276
PAPUA,72059
TIDAK TERDEFINISI,1210
