PROVINSI,PESERTA
ACEH,5078
SUMATERA UTARA,7253
SUMATERA BARAT,4187
RIAU,3235
JAMBI,1849
SUMATERA SELATAN,3523
BENGKULU,1284
LAMPUNG,3221
KEPULAUAN BANGKA BELITUNG,1340
KEPULAUAN RIAU,1380
DKI JAKARTA,9691
JAWA BARAT,15942
JAWA TENGAH,20765
DAERAH ISTIMEWA YOGYAKARTA,3784
JAWA TIMUR,23463
BANTEN,4545
BALI,3258
NUSA TENGGARA BARAT,2244
NUSA TENGGARA TIMUR,1860
KALIMANTAN BARAT,2297
KALIMANTAN TENGAH,1639
KALIMANTAN SELATAN,2527
KALIMANTAN TIMUR,3044
KALIMANTAN UTARA,675
SULAWESI UTARA,2463
SULAWESI TENGAH,1918
SULAWESI SELATAN,4892
SULAWESI TENGGARA,1433
GORONTALO,941
SULAWESI BARAT,717
MALUKU,677
MALUKU UTARA,698
PAPUA BARAT,610
PAPUA,999
TIDAK TERDEFINISI,64
