PROVINSI,PESERTA
ACEH,53445
SUMATERA UTARA,144413
SUMATERA BARAT,49728
RIAU,62063
JAMBI,39169
SUMATERA SELATAN,84013
BENGKULU,33636
LAMPUNG,69333
KEPULAUAN BANGKA BELITUNG,14502
KEPULAUAN RIAU,21863
DKI JAKARTA,66206
JAWA BARAT,298298
JAWA TENGAH,285809
DAERAH ISTIMEWA YOGYAKARTA,32855
JAWA TIMUR,251487
BANTEN,65397
BALI,49753
NUSA TENGGARA BARAT,33230
NUSA TENGGARA TIMUR,70333
KALIMANTAN BARAT,43714
KALIMANTAN TENGAH,34028
KALIMANTAN SELATAN,48223
KALIMANTAN TIMUR,42110
KALIMANTAN UTARA,9739
SULAWESI UTARA,38713
SULAWESI TENGAH,35072
SULAWESI SELATAN,94941
SULAWESI TENGGARA,48348
GORONTALO,13366
SULAWESI BARAT,17340
MALUKU,32227
MALUKU UTARA,25597
PAPUA BARAT,26439
PAPUA,68905
TIDAK TERDEFINISI,1140
