PROVINSI,PESERTA
ACEH,4510
SUMATERA UTARA,6462
SUMATERA BARAT,3930
RIAU,2766
JAMBI,1937
SUMATERA SELATAN,3336
BENGKULU,1591
LAMPUNG,2763
KEPULAUAN BANGKA BELITUNG,1107
KEPULAUAN RIAU,1153
DKI JAKARTA,1654
JAWA BARAT,7493
JAWA TENGAH,9002
DAERAH ISTIMEWA YOGYAKARTA,1109
JAWA TIMUR,9495
BANTEN,2145
BALI,1580
NUSA TENGGARA BARAT,2015
NUSA TENGGARA TIMUR,2909
KALIMANTAN BARAT,2697
KALIMANTAN TENGAH,1958
KALIMANTAN SELATAN,2476
KALIMANTAN TIMUR,2036
KALIMANTAN UTARA,740
SULAWESI UTARA,1968
SULAWESI TENGAH,2029
SULAWESI SELATAN,4481
SULAWESI TENGGARA,2066
GORONTALO,897
SULAWESI BARAT,1010
MALUKU,1267
MALUKU UTARA,996
PAPUA BARAT,1227
PAPUA,2155
TIDAK TERDEFINISI,6
